tc_po_line_id;N_SolicitudCliente;N_OrdenDistribu;Fecha_Creacion_Orden;FechaCompromiso;EstOrden;EstLineaOrden;Estado_OD;SKU;DescSKU;CantSKU;DESPACHO;Tipo_Orden;Mes;Año;Descripcion TipoVenta;Tipo Venta;N_OrdenDistribu;Horario;Horario2;Fecha Creacion
1;114164955;121852752;27-09-2017 02:17;29/11/17;Allocation Failed;Allocation Failed;Cancelled;764820999;CALEF HALOGENO SMB120C;0;012;Paris.cl;11;2017;Stock CD;2;2;2;02;2017-11-29 09:01:00
1;114164955;122326151;27-09-2017 02:17;29/11/17;Allocation Failed;Allocation Failed;Cancelled;764820999;CALEF HALOGENO SMB120C;0;012;Paris.cl;11;2017;Stock CD;2;2;2;02;2017-11-29 09:01:00
1;114446668;122121429;08-10-2017 23:35;30/11/17;Fac Allocated;Fac Allocated;Shipped;196759033;603CLCYV18-044 CA/VEME1/L;1;200;Pickup;11;2017;Stock CD;2;2;2;11;2017-11-30 12:17:00
2;114446668;122121429;08-10-2017 23:35;30/11/17;Fac Allocated;Fac Allocated;Shipped;213342006;603JECYV18-700 JE/AZME1/T 46;1;200;Pickup;11;2017;Stock CD;2;2;2;11;2017-11-30 18:52:00
3;114446668;122121429;08-10-2017 23:36;30/11/17;Fac Allocated;Fac Allocated;Shipped;117968009;682BTUV18-606T BOTA/NEGRO/N 40;1;200;Pickup;11;2017;Stock CD;2;2;2;11;2017-11-30 18:52:00
1;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;205550999;PLAY DOH BLA ROJ AMA CEL;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
10;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951307004;SAND PRINCESA/ROSAD/N 25;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
11;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951307007;SAND PRINCESA/ROSAD/N 28;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
12;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951307006;SAND PRINCESA/ROSAD/N 27;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
13;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951300003;SAND FROZEN/CELESTE/AZCL1/N 24;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
14;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951300004;SAND FROZEN/CELESTE/AZCL1/N 25;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
15;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951300005;SAND FROZEN/CELESTE/AZCL1/N 26;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
16;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951300006;SAND FROZEN/CELESTE/AZCL1/N 27;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
2;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951294004;SAND CARS/ROJO/ROJO/N 25;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
3;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951294005;SAND CARS/ROJO/ROJO/N 26;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
4;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951294006;SAND CARS/ROJO/ROJO/N 27;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
5;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951081002;SAND AVENG/GRIS/GRIS/N 23;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
6;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951081004;SAND AVENG/GRIS/GRIS/N 25;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
7;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951081005;SAND AVENG/GRIS/GRIS/N 26;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
8;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951307003;SAND PRINCESA/ROSAD/N 24;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
9;114513133;null;12-10-2017 01:58;28/11/17;Allocated;Allocated;null;951307005;SAND PRINCESA/ROSAD/N 26;1;null;Paris.cl;11;2017;Stock CD;2;1;2;01;2017-11-28 09:01:00
1;114514725;null;12-10-2017 02:18;01/12/17;Allocated;Allocated;null;607253999;JUEGO 3DS POKEMON SUPER MYSTER;1;null;Paris.cl;12;2017;Stock CD;2;1;2;02;2017-12-01 09:01:00
2;114514725;null;12-10-2017 02:18;01/12/17;Allocated;Allocated;null;218656999;ACC MAZO XY EVOLUTION MEWTWO;1;null;Paris.cl;12;2017;Stock CD;2;1;2;02;2017-12-01 09:01:00
3;114514725;null;12-10-2017 02:18;01/12/17;Allocated;Allocated;null;182366999;ACC MAZO SUN AND MOON;1;null;Paris.cl;12;2017;Stock CD;2;1;2;02;2017-12-01 09:01:00
4;114514725;null;12-10-2017 02:18;01/12/17;Allocated;Allocated;null;722998999;COCA-COLA ZEROPACKX6 350CC;4;null;Paris.cl;12;2017;Stock CD;2;1;2;02;2017-12-01 09:01:00
5;114514725;null;12-10-2017 02:18;01/12/17;Allocated;Allocated;null;289535002;MENS SHADOW CAP 4/BLANC/L/XL;1;null;Paris.cl;12;2017;Stock CD;2;1;2;02;2017-12-01 09:01:00
60828690;114828444;null;21-10-2017 15:52;29/11/17;Sourced;Sourced;null;182371999;SITIAL VICTORIA;0;null;InterCambio;11;2017;Stock CD;2;1;2;03;2017-11-29 00:00:00
60828692;114828444;null;21-10-2017 15:52;29/11/17;Sourced;Sourced;null;182371999;SITIAL VICTORIA;0;null;InterCambio;11;2017;Stock CD;2;1;2;03;2017-11-29 00:00:00
1;114948738;122124085;25-10-2017 23:18;01/12/17;Partially Shipped;Released;Released;364458999;FUTON TELA PRAGA 2015 CAFE;1;012;Paris.cl;12;2017;VeV CD;3;2;2;11;2017-12-01 10:01:00
61517311;115002593;null;26-10-2017 22:39;30/11/17;Allocated;Allocated;null;109962999;REF RF28JBEDBSG/ZS 600L;1;null;InterCambio;11;2017;VeV CD;3;1;2;10;2017-11-30 00:00:00
1;115003775;121988230;27-10-2017 09:28;29/11/17;Partially Shipped;Fac Allocated;Shipped;829078008;BOTELLA 600ML SILI/AZBR1;1;200;Pickup;11;2017;Stock CD;2;2;2;09;2017-11-29 13:00:00
1;115105834;121988094;30-10-2017 22:40;29/11/17;Fac Allocated;Fac Allocated;Shipped;592221999;OLLA A PRESION SERIE 200 - 8A;1;200;Pickup;11;2017;Stock CD;2;2;2;10;2017-11-29 05:20:00
1;115105933;121988147;30-10-2017 22:55;29/11/17;Partially Shipped;Partially Shipped;Partially Shipped;173529999;TEA LIGHT BOHO 4;8;200;Pickup;11;2017;Stock CD;2;2;2;10;2017-11-29 03:49:00
3;115106270;121988289;31-10-2017 00:11;29/11/17;Partially Shipped;Back Ordered;Shipped;111465999;JARRO AQUA XL;0;200;Pickup;11;2017;Stock CD;2;2;2;12;2017-11-29 08:00:00
1;115144242;121988724;31-10-2017 09:49;29/11/17;Fac Allocated;Fac Allocated;Shipped;555528999;PARLANTE KARAOKE T5;1;200;Pickup;11;2017;Stock CD;2;2;2;09;2017-11-29 03:50:00
1;115147784;121992077;31-10-2017 12:22;01/12/17;Partially Fac Allocated;Partially Fac Allocated;Shipped;801993005;COPA DE VINO PLUMA/S/COL;5;200;Pickup;12;2017;Stock CD;2;2;2;12;2017-12-01 03:02:00
2;115147784;121992077;31-10-2017 12:22;01/12/17;Partially Fac Allocated;Fac Allocated;Shipped;102744999;PORTA VELA UMBRALE L;2;200;Pickup;12;2017;Stock CD;2;2;2;12;2017-12-01 03:02:00
3;115147784;121992077;31-10-2017 12:22;01/12/17;Partially Fac Allocated;Fac Allocated;Shipped;102566999;PLATO BARROCO L;1;200;Pickup;12;2017;Stock CD;2;2;2;12;2017-12-01 03:02:00
4;115147784;121992077;31-10-2017 12:22;01/12/17;Partially Fac Allocated;Fac Allocated;Shipped;113881999;FANAL SIMPLE L;1;200;Pickup;12;2017;Stock CD;2;2;2;12;2017-12-01 03:02:00
5;115147784;121992077;31-10-2017 12:22;01/12/17;Partially Fac Allocated;Fac Allocated;Shipped;137729999;MANTEL RECTANGULAR;1;200;Pickup;12;2017;Stock CD;2;2;2;12;2017-12-01 03:02:00
61980477;115155179;null;31-10-2017 16:06;30/11/17;Sourced;Sourced;null;200561999;SECA 9 KG COLOR BLANCO PANEL;0;null;InterCambio;11;2017;Stock CD;2;1;2;04;2017-11-30 00:00:00
1;115173693;121988195;01-11-2017 23:37;29/11/17;Fac Allocated;Fac Allocated;Shipped;117965999;ALFOMBRA COLLAGE ROSA AZUL;1;200;Pickup;11;2017;Stock CD;2;2;2;11;2017-11-29 06:28:00
1;115173906;null;02-11-2017 00:25;29/11/17;Allocated;Allocated;null;629221004;ZAP SKX 11906-BKC/NECA2/N 36;1;null;Pickup;11;2017;Stock CD;2;1;2;12;2017-11-29 13:00:00
1;115177517;null;02-11-2017 01:02;01/12/17;Allocated;Allocated;null;289083014;ZAPM-AMADVANTAGE-/AZUL/N 11;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-01 13:00:00
1;115177706;121991742;02-11-2017 01:02;01/12/17;Fac Allocated;Fac Allocated;Shipped;390797999;MICRO PHILIP MCM 2300;1;200;Pickup;12;2017;Stock CD;2;2;2;01;2017-12-01 03:00:00
3;115205865;121938439;02-11-2017 14:09;04/12/17;Partially Released;Allocation Failed;Cancelled;416220999;LAV WM9WB6 FRONTAL 9KG;0;012;POS Paris;12;2017;Stock CD;2;2;2;02;2017-12-04 00:00:00
3;115205865;121873000;02-11-2017 14:09;04/12/17;Partially Released;Allocation Failed;Cancelled;416220999;LAV WM9WB6 FRONTAL 9KG;0;012;POS Paris;12;2017;Stock CD;2;2;2;02;2017-12-04 00:00:00
1;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;116514013;640POTBV18-007 PO/GRCL3/T 36M;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
2;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;128191028;642POTBV18-023 PO/ROME7/T 4;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
3;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;128259019;646POMLV18-014 PO/VECL3/T 12;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
4;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;128261017;646POMLV18-016 PO/AZAB1/T 12;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
5;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;282938007;POLERA ML ONEILL/AZUL/M;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
6;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;808633999;TAZA CON FILETRO BUHO;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
7;115219297;121992029;02-11-2017 22:49;01/12/17;Fac Allocated;Fac Allocated;Shipped;116594010;646PLMLV18-301 PO/GRCL1/T 12;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-01 03:00:00
1;115226849;null;03-11-2017 11:31;01/12/17;Allocated;Allocated;null;154088999;SET 6 COPAS ROJAS TINTO;2;null;Pickup;12;2017;Stock CD;2;1;2;11;2017-12-01 08:00:00
1;115228516;121992331;03-11-2017 13:44;01/12/17;Fac Allocated;Fac Allocated;Shipped;540017004;CHAQ H CHILCO SIN/NARAN/L;1;200;Pickup;12;2017;Stock CD;2;2;2;01;2017-12-01 03:00:00
1;115240833;121992344;03-11-2017 15:09;01/12/17;Fac Allocated;Fac Allocated;Shipped;178847999;MAQ POP CORN PCM PCM5000R;1;200;Pickup;12;2017;Stock CD;2;2;2;03;2017-12-01 03:00:00
3;115250996;121992326;03-11-2017 18:54;01/12/17;Partially Shipped;Back Ordered;Shipped;150526005;BARK-TOO-CAMO/GRAB1/L;0;200;Pickup;12;2017;Stock CD;2;2;2;06;2017-12-01 08:00:00
1;115252466;121630514;03-11-2017 20:26;04/12/17;Released;Released;Released;749096001;BS MODDULA CASTELL KING;24;012;POS Paris;12;2017;VeV CD;3;2;2;08;2017-12-04 08:00:00
1;115253676;121991799;03-11-2017 22:50;02/12/17;Fac Allocated;Fac Allocated;Shipped;125126999;DUENDES MAGICOS COLORITO;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 07:18:00
1;115254105;null;04-11-2017 01:51;04/12/17;Allocated;Allocated;null;238498021;601BLOPV18-906 KE/AMBR2/XS;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
2;115254105;null;04-11-2017 01:51;04/12/17;Allocated;Allocated;null;238498011;601BLOPV18-906 KE/BLNA5/XS;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
3;115254105;null;04-11-2017 01:51;04/12/17;Allocated;Allocated;null;238498006;601BLOPV18-906 KE/NEGRO/XS;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
4;115254105;null;04-11-2017 01:51;04/12/17;Allocated;Allocated;null;238498016;601BLOPV18-906 KE/VEME6/XS;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
1;115255272;121992380;04-11-2017 10:29;02/12/17;Fac Allocated;Fac Allocated;Shipped;115894007;642CSTBV18-361 CA/AZOS9/T 8;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:30:00
1;115255388;121991682;04-11-2017 11:07;04/12/17;Fac Allocated;Fac Allocated;Shipped;507036999;SET 12 ESFERAS 6CM DORADO;1;200;Pickup;12;2017;Stock CD;2;2;2;11;2017-12-04 08:00:00
1;115256000;null;04-11-2017 11:53;01/12/17;Allocated;Allocated;null;465572004;JGO LIV CANDY 311/ROJO;1;null;Paris.cl;12;2017;VeV CD;3;1;2;11;2017-12-01 09:01:00
1;115256193;null;04-11-2017 12:13;04/12/17;Allocated;Allocated;null;238346008;604POAZV18-034 PO/AMBR1/S;1;null;Pickup;12;2017;Stock CD;2;1;2;12;2017-12-04 13:00:00
2;115256193;null;04-11-2017 12:13;04/12/17;Allocated;Allocated;null;191342010;604POAZV18-025 PO/ROSAD/S;1;null;Pickup;12;2017;Stock CD;2;1;2;12;2017-12-04 13:00:00
1;115256728;null;04-11-2017 12:51;04/12/17;Allocated;Allocated;null;123830004;601CSOPV18-415 CS/RJAB1/M;1;null;Pickup;12;2017;Stock CD;2;1;2;12;2017-12-04 13:00:00
1;115257035;121992285;04-11-2017 13:18;02/12/17;Fac Allocated;Fac Allocated;Shipped;123830004;601CSOPV18-415 CS/RJAB1/M;1;200;Pickup;12;2017;Stock CD;2;2;2;01;2017-12-02 04:30:00
1;115257332;121992383;04-11-2017 13:31;02/12/17;Fac Allocated;Fac Allocated;Shipped;139528999;COPA CHAMPAÑA ROSA DORADO;2;200;Pickup;12;2017;Stock CD;2;2;2;01;2017-12-02 07:18:00
1;115259895;121991878;04-11-2017 16:48;02/12/17;Fac Allocated;Fac Allocated;Shipped;172355012;601POOPV18-082 PO/NEGRO/M;1;200;Pickup;12;2017;Stock CD;2;2;2;04;2017-12-02 04:30:00
2;115259895;121991878;04-11-2017 16:48;02/12/17;Fac Allocated;Fac Allocated;Shipped;115322011;603POMAV18-008 PO/NEGRO/L;1;200;Pickup;12;2017;Stock CD;2;2;2;04;2017-12-02 04:30:00
1;115261562;121991693;04-11-2017 20:24;02/12/17;Fac Allocated;Fac Allocated;Shipped;111596026;ZAP CLB FIRECAMP W./AZUL/N 8,5;1;200;Pickup;12;2017;Stock CD;2;2;2;08;2017-12-02 07:18:00
1;115261621;121991718;04-11-2017 20:32;02/12/17;Fac Allocated;Fac Allocated;Shipped;106471004;JEANS F1TJB1904/AZME2/T 38;1;200;Pickup;12;2017;Stock CD;2;2;2;08;2017-12-02 04:30:00
1;115261745;null;04-11-2017 20:50;04/12/17;Allocated;Allocated;null;218094007;682SCOPV18-230 SA/GRPL1/N 38;1;null;Pickup;12;2017;Stock CD;2;1;2;08;2017-12-04 13:00:00
1;115261785;121991774;04-11-2017 20:57;02/12/17;Fac Allocated;Fac Allocated;Shipped;197929009;603POGRV18-008 PO/BLNA1/S;1;200;Pickup;12;2017;Stock CD;2;2;2;08;2017-12-02 04:30:00
1;115261825;121991788;04-11-2017 21:04;02/12/17;Fac Allocated;Fac Allocated;Shipped;218094007;682SCOPV18-230 SA/GRPL1/N 38;1;200;Pickup;12;2017;Stock CD;2;2;2;09;2017-12-02 04:30:00
